Total commits,Total commits per day,Accumulated commits,Committers,Committers Weight,Toxicos
0.009561,0.073593,0.041758,0.040816,0.484429,1
0,0,0.04141,0,0,0
0,0,0.04141,0,0,0
0.001687,0.142857,0.04141,0.020408,1,1
0.006749,0.571429,0.041348,0.020408,1,2
0,0,0.041102,0,0,0
0,0,0.041102,0,0,0
0,0,0.041102,0,0,0
0,0,0.041102,0,0,0
0.010686,0.904762,0.041102,0.040816,0.265928,2
0,0,0.040713,0,0,0
0,0,0.040713,0,0,0
0,0,0.040713,0,0,0
0,0,0.040713,0,0,0
0,0,0.040713,0,0,0
0.006187,0.52381,0.040713,0.020408,1,2
0,0,0.040487,0,0,0
0,0,0.040487,0,0,0
0.001687,0.071429,0.040487,0.040816,0.444444,0
0.008436,0.357143,0.040426,0.061224,0.152542,1
0,0,0.040118,0,0,0
0,0,0.040118,0,0,0
0.001687,0.142857,0.040118,0.020408,1,1
0.010124,0.065934,0.040057,0.061224,0.221053,1
0,0,0.039688,0,0,0
0.003937,0.333333,0.039688,0.040816,0.244898,2
0.005062,0.142857,0.039544,0.020408,1,1
0,0,0.03936,0,0,0
0.006749,0.081633,0.03936,0.040816,0.486111,1
0.012373,0.52381,0.039114,0.040816,0.297521,2
0,0,0.038663,0,0,0
0,0,0.038663,0,0,0
0,0,0.038663,0,0,0
0,0,0.038663,0,0,0
0,0,0.038663,0,0,0
0,0,0.038663,0,0,0
0.017998,0.084656,0.038663,0.040816,0.498047,1
0,0,0.038007,0,0,0
0.006187,0.087302,0.038007,0.081633,0.137592,1
0.005624,0.039683,0.037781,0.040816,0.48,1
0.00225,0.190476,0.037576,0.020408,1,1
0.005062,0.428571,0.037494,0.040816,0.444444,1
0.001687,0.071429,0.03731,0.020408,1,0
0.037683,0.093838,0.037248,0.081633,0.037706,1
0.003375,0.095238,0.035875,0.040816,0.444444,0
0.006187,0.261905,0.035752,0.040816,0.46281,2
0.007874,0.333333,0.035526,0.040816,0.489796,1
0,0,0.035239,0,0,0
0,0,0.035239,0,0,0
0.008999,0.095238,0.035239,0.061224,0.144231,0
0.002812,0.039683,0.034911,0.040816,0.48,2
0.008999,0.190476,0.034809,0.040816,0.304688,1
0,0,0.034481,0,0,0
0,0,0.034481,0,0,0
0,0,0.034481,0,0,0
0.006187,0.261905,0.034481,0.040816,0.396694,1
0.006187,0.52381,0.034255,0.020408,1,2
0,0,0.03403,0,0,0
0,0,0.03403,0,0,0
0.000562,0.047619,0.03403,0.020408,1,2
0.013498,0.190476,0.034009,0.081633,0.104167,1
